NomeDispositivo,DescricaoDispositivo,Voltagem,Status,Temperatura,ConsumoWatts,CustoConsumo
Ar Condicionado,Climatizador de ambiente,215.15,Desligado,24.54,1990.53,39.83
Microondas,Aquecedor de alimentos,128.95,Ligado,33.01,1208.03,30.59
Televisão,Eletrônico de entretenimento,125.77,Ligado,28.53,91.9,1.39
Ar Condicionado,Climatizador de ambiente,220.17,Desligado,22.58,1995.97,31.16
Microondas,Aquecedor de alimentos,122.97,Ligado,35.1,1191.13,23.74
Televisão,Eletrônico de entretenimento,124.79,Ligado,30.85,101.81,2.28
Máquina de Lavar,Eletrodoméstico de lavanderia,216.85,Ligado,20.27,494.53,14.22
Ar Condicionado,Climatizador de ambiente,223.01,Desligado,22.72,1993.92,39.83
Geladeira,Eletrodoméstico de cozinha,222.56,Ligado,2.06,159.84,2.81
Máquina de Lavar,Eletrodoméstico de lavanderia,218.52,Ligado,19.63,502.13,11.79
Televisão,Eletrônico de entretenimento,124.14,Ligado,30.94,108.04,2.51
Microondas,Aquecedor de alimentos,125.8,Ligado,34.98,1199.9,23.99
Geladeira,Eletrodoméstico de cozinha,219.89,Ligado,2.52,157.18,4.63
Ar Condicionado,Climatizador de ambiente,224.11,Desligado,24.05,1995.54,44.0
Máquina de Lavar,Eletrodoméstico de lavanderia,221.22,Ligado,20.65,508.78,10.33
Televisão,Eletrônico de entretenimento,129.77,Ligado,31.54,107.8,2.59
Televisão,Eletrônico de entretenimento,122.75,Ligado,28.16,101.9,3.05
Microondas,Aquecedor de alimentos,130.33,Ligado,36.15,1196.35,12.12
Ar Condicionado,Climatizador de ambiente,220.39,Desligado,22.28,1993.62,54.48
Ar Condicionado,Climatizador de ambiente,219.25,Desligado,22.1,1993.86,48.34
Televisão,Eletrônico de entretenimento,126.08,Ligado,28.02,92.37,2.52
Geladeira,Eletrodoméstico de cozinha,215.98,Ligado,2.34,147.38,4.11
Geladeira,Eletrodoméstico de cozinha,216.22,Ligado,2.49,149.57,3.51
Geladeira,Eletrodoméstico de cozinha,218.8,Ligado,4.04,149.07,3.51
Geladeira,Eletrodoméstico de cozinha,220.69,Ligado,5.08,146.92,1.94
Televisão,Eletrônico de entretenimento,129.74,Ligado,29.6,102.96,2.43
Ar Condicionado,Climatizador de ambiente,216.3,Desligado,25.04,1990.2,23.01
Ar Condicionado,Climatizador de ambiente,223.4,Desligado,22.23,2009.01,35.0
Ar Condicionado,Climatizador de ambiente,217.28,Desligado,25.27,2006.76,54.28
Televisão,Eletrônico de entretenimento,127.57,Ligado,31.54,91.69,1.7
Ar Condicionado,Climatizador de ambiente,222.15,Desligado,25.35,2009.51,33.16
Máquina de Lavar,Eletrodoméstico de lavanderia,220.54,Ligado,21.49,498.39,8.26
Geladeira,Eletrodoméstico de cozinha,218.39,Ligado,3.8,147.91,3.51
Televisão,Eletrônico de entretenimento,130.16,Ligado,30.29,95.46,1.79
Máquina de Lavar,Eletrodoméstico de lavanderia,220.71,Ligado,20.77,507.15,7.5
Microondas,Aquecedor de alimentos,129.05,Ligado,36.91,1203.86,28.76
Máquina de Lavar,Eletrodoméstico de lavanderia,223.9,Ligado,19.48,496.66,12.79
Geladeira,Eletrodoméstico de cozinha,219.42,Ligado,5.98,151.91,1.53
Máquina de Lavar,Eletrodoméstico de lavanderia,220.42,Ligado,18.02,505.15,12.43
Ar Condicionado,Climatizador de ambiente,224.89,Desligado,23.67,2006.59,28.52
Televisão,Eletrônico de entretenimento,126.04,Ligado,30.73,100.33,1.14
Máquina de Lavar,Eletrodoméstico de lavanderia,219.22,Ligado,20.89,506.34,8.3
Geladeira,Eletrodoméstico de cozinha,221.58,Ligado,4.46,140.05,3.53
Microondas,Aquecedor de alimentos,122.75,Ligado,36.02,1201.54,21.51
Televisão,Eletrônico de entretenimento,128.87,Ligado,29.5,100.73,1.33
Microondas,Aquecedor de alimentos,130.95,Ligado,35.42,1192.93,13.13
Ar Condicionado,Climatizador de ambiente,222.86,Desligado,23.69,2008.06,35.13
Máquina de Lavar,Eletrodoméstico de lavanderia,215.93,Ligado,18.94,500.97,7.94
Televisão,Eletrônico de entretenimento,131.9,Ligado,29.73,95.82,2.6
Microondas,Aquecedor de alimentos,126.42,Ligado,36.41,1190.44,26.92
Máquina de Lavar,Eletrodoméstico de lavanderia,217.49,Ligado,18.34,502.46,7.0
Microondas,Aquecedor de alimentos,124.44,Ligado,34.99,1205.78,23.06
Geladeira,Eletrodoméstico de cozinha,219.79,Ligado,4.3,158.7,3.89
Máquina de Lavar,Eletrodoméstico de lavanderia,218.15,Ligado,19.3,508.73,8.65
Geladeira,Eletrodoméstico de cozinha,223.07,Ligado,2.16,156.43,3.48
Geladeira,Eletrodoméstico de cozinha,223.16,Ligado,3.82,143.07,1.87
Televisão,Eletrônico de entretenimento,128.32,Ligado,31.68,109.35,1.16
Geladeira,Eletrodoméstico de cozinha,220.09,Ligado,3.65,142.22,3.54
Ar Condicionado,Climatizador de ambiente,221.51,Desligado,25.45,1992.69,30.74
Máquina de Lavar,Eletrodoméstico de lavanderia,224.79,Ligado,20.44,494.48,5.94
Televisão,Eletrônico de entretenimento,131.09,Ligado,31.35,99.69,1.85
Televisão,Eletrônico de entretenimento,131.83,Ligado,30.81,91.88,2.26
Geladeira,Eletrodoméstico de cozinha,221.15,Ligado,5.16,156.42,4.55
Máquina de Lavar,Eletrodoméstico de lavanderia,220.07,Ligado,21.63,490.36,9.45
Geladeira,Eletrodoméstico de cozinha,224.12,Ligado,5.47,158.65,4.24
Microondas,Aquecedor de alimentos,128.05,Ligado,33.98,1197.2,28.02
Microondas,Aquecedor de alimentos,131.79,Ligado,35.56,1202.33,16.68
Ar Condicionado,Climatizador de ambiente,218.01,Desligado,22.01,2006.59,34.41
Máquina de Lavar,Eletrodoméstico de lavanderia,219.16,Ligado,18.29,499.74,14.01
Ar Condicionado,Climatizador de ambiente,223.87,Desligado,25.79,2004.11,27.02
Ar Condicionado,Climatizador de ambiente,222.37,Desligado,23.57,1994.11,30.41
Ar Condicionado,Climatizador de ambiente,223.05,Desligado,24.63,1993.3,59.64
Máquina de Lavar,Eletrodoméstico de lavanderia,220.18,Ligado,18.11,495.15,13.76
Máquina de Lavar,Eletrodoméstico de lavanderia,215.83,Ligado,21.51,505.75,9.88
Televisão,Eletrônico de entretenimento,126.82,Ligado,31.72,106.18,2.0
Microondas,Aquecedor de alimentos,131.79,Ligado,34.08,1199.04,26.46
Televisão,Eletrônico de entretenimento,126.52,Ligado,30.0,101.41,2.32
Microondas,Aquecedor de alimentos,126.98,Ligado,33.5,1195.68,17.33
Geladeira,Eletrodoméstico de cozinha,216.09,Ligado,4.45,157.5,1.83
Ar Condicionado,Climatizador de ambiente,221.19,Desligado,25.95,1999.41,31.37
Máquina de Lavar,Eletrodoméstico de lavanderia,224.14,Ligado,19.7,495.94,13.68
Televisão,Eletrônico de entretenimento,127.29,Ligado,30.09,108.87,1.3
Máquina de Lavar,Eletrodoméstico de lavanderia,222.23,Ligado,20.89,501.77,13.87
Televisão,Eletrônico de entretenimento,126.69,Ligado,31.58,109.69,1.22
Geladeira,Eletrodoméstico de cozinha,220.98,Ligado,3.29,152.85,4.38
Máquina de Lavar,Eletrodoméstico de lavanderia,221.19,Ligado,18.81,490.3,9.0
Geladeira,Eletrodoméstico de cozinha,219.72,Ligado,4.09,151.51,1.96
Geladeira,Eletrodoméstico de cozinha,215.47,Ligado,3.05,144.34,3.61
Máquina de Lavar,Eletrodoméstico de lavanderia,222.24,Ligado,19.25,509.22,8.19
Microondas,Aquecedor de alimentos,128.95,Ligado,35.24,1197.39,12.93
Ar Condicionado,Climatizador de ambiente,223.16,Desligado,22.59,2004.8,38.07
Máquina de Lavar,Eletrodoméstico de lavanderia,215.47,Ligado,21.8,506.81,10.61
Ar Condicionado,Climatizador de ambiente,222.71,Desligado,24.3,1993.93,36.27
Ar Condicionado,Climatizador de ambiente,217.72,Desligado,25.44,1998.77,50.63
Televisão,Eletrônico de entretenimento,128.94,Ligado,29.15,98.2,1.36
Máquina de Lavar,Eletrodoméstico de lavanderia,224.98,Ligado,18.86,491.13,11.09
Ar Condicionado,Climatizador de ambiente,220.57,Desligado,22.18,1990.48,51.76
Geladeira,Eletrodoméstico de cozinha,219.72,Ligado,5.73,145.36,1.63
Geladeira,Eletrodoméstico de cozinha,215.73,Ligado,3.78,152.6,1.6
Máquina de Lavar,Eletrodoméstico de lavanderia,224.89,Ligado,18.28,495.99,13.16
Microondas,Aquecedor de alimentos,123.37,Ligado,33.9,1203.54,23.02
Ar Condicionado,Climatizador de ambiente,223.64,Desligado,23.06,1999.46,59.35
Geladeira,Eletrodoméstico de cozinha,224.79,Ligado,3.69,146.85,1.76
Geladeira,Eletrodoméstico de cozinha,216.45,Ligado,3.19,154.04,1.69
Televisão,Eletrônico de entretenimento,131.11,Ligado,29.75,107.89,2.92
Microondas,Aquecedor de alimentos,122.35,Ligado,33.23,1209.3,23.86
Ar Condicionado,Climatizador de ambiente,217.77,Desligado,25.54,2006.12,25.64
Geladeira,Eletrodoméstico de cozinha,224.01,Ligado,3.81,145.0,3.61
Geladeira,Eletrodoméstico de cozinha,219.82,Ligado,4.33,146.99,3.08
Geladeira,Eletrodoméstico de cozinha,224.27,Ligado,4.86,141.94,4.21
Microondas,Aquecedor de alimentos,124.77,Ligado,33.7,1207.34,13.03
Televisão,Eletrônico de entretenimento,125.44,Ligado,30.02,92.45,2.28
Microondas,Aquecedor de alimentos,131.06,Ligado,34.53,1208.27,35.97
Máquina de Lavar,Eletrodoméstico de lavanderia,222.72,Ligado,19.43,503.14,14.34
Ar Condicionado,Climatizador de ambiente,224.56,Desligado,25.83,2000.19,28.63
Ar Condicionado,Climatizador de ambiente,220.46,Desligado,25.81,1995.56,23.69
Máquina de Lavar,Eletrodoméstico de lavanderia,218.71,Ligado,18.75,496.55,14.8
Máquina de Lavar,Eletrodoméstico de lavanderia,217.24,Ligado,19.69,503.35,12.89
Televisão,Eletrônico de entretenimento,126.33,Ligado,30.66,106.6,1.23
Geladeira,Eletrodoméstico de cozinha,216.83,Ligado,4.73,141.82,4.03
Televisão,Eletrônico de entretenimento,127.32,Ligado,31.88,99.02,2.74
Microondas,Aquecedor de alimentos,130.37,Ligado,36.34,1204.39,33.08
Microondas,Aquecedor de alimentos,126.7,Ligado,33.57,1194.95,13.13
Televisão,Eletrônico de entretenimento,131.89,Ligado,28.48,97.4,2.21
Ar Condicionado,Climatizador de ambiente,219.32,Desligado,23.55,1999.89,44.93
Máquina de Lavar,Eletrodoméstico de lavanderia,220.43,Ligado,21.76,509.07,11.53
Máquina de Lavar,Eletrodoméstico de lavanderia,216.39,Ligado,20.01,498.24,14.39
Microondas,Aquecedor de alimentos,126.15,Ligado,33.05,1191.59,32.72
Máquina de Lavar,Eletrodoméstico de lavanderia,220.93,Ligado,18.98,492.47,5.44
Televisão,Eletrônico de entretenimento,131.08,Ligado,31.06,95.16,2.64
Geladeira,Eletrodoméstico de cozinha,221.88,Ligado,3.43,150.02,1.52
Geladeira,Eletrodoméstico de cozinha,221.56,Ligado,5.95,143.6,2.61
Microondas,Aquecedor de alimentos,130.03,Ligado,36.36,1195.12,26.49
Televisão,Eletrônico de entretenimento,127.54,Ligado,28.13,102.23,2.2
Microondas,Aquecedor de alimentos,128.72,Ligado,35.51,1195.07,29.76
Microondas,Aquecedor de alimentos,129.04,Ligado,35.46,1191.81,28.17
Televisão,Eletrônico de entretenimento,124.65,Ligado,29.49,101.2,1.78
Geladeira,Eletrodoméstico de cozinha,222.8,Ligado,4.38,153.96,3.8
Televisão,Eletrônico de entretenimento,129.45,Ligado,31.26,104.92,1.92
Máquina de Lavar,Eletrodoméstico de lavanderia,219.08,Ligado,20.11,503.01,13.21
Ar Condicionado,Climatizador de ambiente,223.83,Desligado,24.32,1991.3,50.24
Microondas,Aquecedor de alimentos,129.6,Ligado,33.14,1203.57,26.79
Televisão,Eletrônico de entretenimento,125.76,Ligado,29.37,105.4,1.17
Ar Condicionado,Climatizador de ambiente,222.62,Desligado,23.61,2002.12,36.24
Ar Condicionado,Climatizador de ambiente,224.45,Desligado,24.09,1999.0,43.93
Máquina de Lavar,Eletrodoméstico de lavanderia,217.35,Ligado,21.43,503.1,6.21
Ar Condicionado,Climatizador de ambiente,218.28,Desligado,24.94,1997.21,30.13
Máquina de Lavar,Eletrodoméstico de lavanderia,223.0,Ligado,21.03,506.28,12.21
Máquina de Lavar,Eletrodoméstico de lavanderia,222.39,Ligado,20.18,498.69,13.54
Máquina de Lavar,Eletrodoméstico de lavanderia,215.88,Ligado,21.74,496.04,6.42
Televisão,Eletrônico de entretenimento,128.71,Ligado,29.75,98.38,2.27
Geladeira,Eletrodoméstico de cozinha,218.59,Ligado,2.37,159.97,3.16
Geladeira,Eletrodoméstico de cozinha,219.03,Ligado,5.26,141.17,3.38
Máquina de Lavar,Eletrodoméstico de lavanderia,222.16,Ligado,18.46,508.73,8.86
Microondas,Aquecedor de alimentos,131.38,Ligado,35.46,1207.01,35.61
Máquina de Lavar,Eletrodoméstico de lavanderia,215.07,Ligado,18.01,504.31,5.34
Ar Condicionado,Climatizador de ambiente,218.86,Desligado,23.8,2006.42,37.86
Ar Condicionado,Climatizador de ambiente,218.35,Desligado,25.37,2005.15,49.23
Televisão,Eletrônico de entretenimento,125.39,Ligado,30.82,102.41,1.81
Televisão,Eletrônico de entretenimento,130.64,Ligado,29.3,107.03,2.35
Ar Condicionado,Climatizador de ambiente,220.78,Desligado,23.47,1997.56,21.29
Ar Condicionado,Climatizador de ambiente,221.09,Desligado,23.58,2006.42,56.31
Microondas,Aquecedor de alimentos,122.44,Ligado,34.44,1204.9,20.52
Microondas,Aquecedor de alimentos,125.85,Ligado,34.61,1190.96,33.49
Televisão,Eletrônico de entretenimento,126.82,Ligado,31.89,95.38,1.63
Máquina de Lavar,Eletrodoméstico de lavanderia,220.08,Ligado,20.51,492.09,10.05
Ar Condicionado,Climatizador de ambiente,222.42,Desligado,23.86,1996.98,57.19
Ar Condicionado,Climatizador de ambiente,216.45,Desligado,24.56,2002.82,56.14
Ar Condicionado,Climatizador de ambiente,224.56,Desligado,25.42,1998.69,59.5
Ar Condicionado,Climatizador de ambiente,216.76,Desligado,25.06,1991.02,31.9
Geladeira,Eletrodoméstico de cozinha,222.85,Ligado,3.13,157.89,2.07
Ar Condicionado,Climatizador de ambiente,217.6,Desligado,25.92,2007.63,58.08
Máquina de Lavar,Eletrodoméstico de lavanderia,222.82,Ligado,19.7,491.67,7.47
Ar Condicionado,Climatizador de ambiente,216.54,Desligado,23.44,2001.55,35.06
Geladeira,Eletrodoméstico de cozinha,222.22,Ligado,5.98,150.83,4.34
Máquina de Lavar,Eletrodoméstico de lavanderia,217.24,Ligado,20.48,499.63,6.5
Televisão,Eletrônico de entretenimento,129.68,Ligado,28.21,107.09,2.94
Microondas,Aquecedor de alimentos,123.05,Ligado,35.26,1199.7,21.04
Máquina de Lavar,Eletrodoméstico de lavanderia,222.44,Ligado,20.54,502.6,15.0
Microondas,Aquecedor de alimentos,123.63,Ligado,35.33,1191.25,13.01
Máquina de Lavar,Eletrodoméstico de lavanderia,223.55,Ligado,20.04,504.23,13.92
Geladeira,Eletrodoméstico de cozinha,219.53,Ligado,3.05,141.88,3.39
Ar Condicionado,Climatizador de ambiente,217.8,Desligado,24.49,1997.38,40.52
Microondas,Aquecedor de alimentos,122.25,Ligado,33.93,1199.78,34.23
Ar Condicionado,Climatizador de ambiente,221.02,Desligado,22.21,1997.2,45.76
Televisão,Eletrônico de entretenimento,122.92,Ligado,29.09,90.06,2.13
Microondas,Aquecedor de alimentos,123.56,Ligado,34.48,1197.17,23.67
Máquina de Lavar,Eletrodoméstico de lavanderia,223.42,Ligado,19.9,494.49,7.39
Geladeira,Eletrodoméstico de cozinha,220.5,Ligado,2.27,156.64,3.05
Ar Condicionado,Climatizador de ambiente,222.86,Desligado,23.64,1990.47,53.2
Máquina de Lavar,Eletrodoméstico de lavanderia,220.84,Ligado,20.34,501.0,7.2
Geladeira,Eletrodoméstico de cozinha,222.99,Ligado,4.18,157.08,2.0
Geladeira,Eletrodoméstico de cozinha,218.93,Ligado,2.8,156.26,4.08
Ar Condicionado,Climatizador de ambiente,219.2,Desligado,25.31,2007.35,46.06
Ar Condicionado,Climatizador de ambiente,218.74,Desligado,22.0,2000.49,31.95
Máquina de Lavar,Eletrodoméstico de lavanderia,218.06,Ligado,21.72,504.28,7.58
Máquina de Lavar,Eletrodoméstico de lavanderia,217.28,Ligado,20.66,504.27,12.31
Geladeira,Eletrodoméstico de cozinha,222.04,Ligado,4.13,146.95,2.76
Ar Condicionado,Climatizador de ambiente,223.18,Desligado,24.56,1996.19,44.97
Máquina de Lavar,Eletrodoméstico de lavanderia,222.13,Ligado,20.53,490.93,8.46
Televisão,Eletrônico de entretenimento,127.94,Ligado,28.5,99.39,1.16
Microondas,Aquecedor de alimentos,125.54,Ligado,34.98,1198.04,14.31
Geladeira,Eletrodoméstico de cozinha,224.78,Ligado,3.36,159.49,4.67
Geladeira,Eletrodoméstico de cozinha,222.62,Ligado,4.91,157.19,1.85
Televisão,Eletrônico de entretenimento,126.76,Ligado,30.58,93.73,1.14
Microondas,Aquecedor de alimentos,123.87,Ligado,34.36,1191.18,29.06
Máquina de Lavar,Eletrodoméstico de lavanderia,222.5,Ligado,21.85,507.63,14.93
Televisão,Eletrônico de entretenimento,122.85,Ligado,31.69,101.64,2.56
Microondas,Aquecedor de alimentos,130.52,Ligado,33.18,1206.41,27.09
Máquina de Lavar,Eletrodoméstico de lavanderia,215.36,Ligado,20.97,509.71,5.1
Televisão,Eletrônico de entretenimento,122.28,Ligado,29.96,93.68,1.99
Televisão,Eletrônico de entretenimento,123.6,Ligado,31.62,107.19,2.77
Microondas,Aquecedor de alimentos,125.42,Ligado,34.91,1198.48,21.3
Geladeira,Eletrodoméstico de cozinha,219.01,Ligado,2.23,152.7,3.01
Máquina de Lavar,Eletrodoméstico de lavanderia,224.19,Ligado,18.26,503.96,10.19
Ar Condicionado,Climatizador de ambiente,224.63,Desligado,22.29,2002.01,32.87
Máquina de Lavar,Eletrodoméstico de lavanderia,218.69,Ligado,21.39,507.32,5.79
Microondas,Aquecedor de alimentos,124.99,Ligado,33.01,1191.3,26.11
Ar Condicionado,Climatizador de ambiente,222.01,Desligado,24.84,1993.16,20.64
Ar Condicionado,Climatizador de ambiente,218.06,Desligado,22.2,1999.7,43.39
Ar Condicionado,Climatizador de ambiente,223.6,Desligado,24.93,2008.06,56.53
Máquina de Lavar,Eletrodoméstico de lavanderia,218.35,Ligado,20.71,503.05,13.61
Geladeira,Eletrodoméstico de cozinha,219.14,Ligado,2.39,148.3,2.2
Geladeira,Eletrodoméstico de cozinha,216.81,Ligado,3.69,144.1,3.23
Ar Condicionado,Climatizador de ambiente,222.07,Desligado,23.63,1990.16,38.73
Microondas,Aquecedor de alimentos,130.81,Ligado,35.54,1205.89,26.2
Geladeira,Eletrodoméstico de cozinha,216.73,Ligado,5.87,143.3,2.38
Geladeira,Eletrodoméstico de cozinha,219.91,Ligado,4.31,147.74,2.71
Geladeira,Eletrodoméstico de cozinha,220.48,Ligado,4.36,159.11,4.08
Microondas,Aquecedor de alimentos,129.3,Ligado,36.65,1204.59,20.12
Televisão,Eletrônico de entretenimento,122.02,Ligado,31.44,108.97,1.31
Televisão,Eletrônico de entretenimento,129.35,Ligado,31.86,92.96,2.4
Geladeira,Eletrodoméstico de cozinha,217.27,Ligado,3.05,157.39,4.31
Geladeira,Eletrodoméstico de cozinha,215.02,Ligado,5.58,158.53,4.21
Microondas,Aquecedor de alimentos,130.07,Ligado,34.82,1197.74,27.86
Televisão,Eletrônico de entretenimento,127.22,Ligado,29.62,97.71,1.51
Máquina de Lavar,Eletrodoméstico de lavanderia,221.22,Ligado,19.43,504.51,7.59
Ar Condicionado,Climatizador de ambiente,217.35,Desligado,22.47,1992.22,31.32
Televisão,Eletrônico de entretenimento,130.93,Ligado,31.36,100.91,1.22
Máquina de Lavar,Eletrodoméstico de lavanderia,220.55,Ligado,21.52,491.36,13.52
Televisão,Eletrônico de entretenimento,124.35,Ligado,30.24,107.25,3.03
Máquina de Lavar,Eletrodoméstico de lavanderia,215.13,Ligado,20.02,502.84,11.28
Microondas,Aquecedor de alimentos,129.89,Ligado,34.29,1201.46,35.77
Ar Condicionado,Climatizador de ambiente,215.37,Desligado,23.97,1995.34,31.97
Geladeira,Eletrodoméstico de cozinha,222.81,Ligado,4.49,145.99,4.02
Microondas,Aquecedor de alimentos,127.6,Ligado,33.18,1195.95,12.65
Televisão,Eletrônico de entretenimento,123.44,Ligado,31.96,96.56,1.46
Ar Condicionado,Climatizador de ambiente,223.5,Desligado,23.82,1995.12,54.83
Geladeira,Eletrodoméstico de cozinha,221.5,Ligado,4.95,146.97,4.15
Ar Condicionado,Climatizador de ambiente,223.69,Desligado,23.48,2009.35,46.87
Máquina de Lavar,Eletrodoméstico de lavanderia,221.85,Ligado,21.0,502.58,14.39
Televisão,Eletrônico de entretenimento,123.24,Ligado,30.46,103.85,1.38
Geladeira,Eletrodoméstico de cozinha,222.58,Ligado,2.25,153.01,2.27
Ar Condicionado,Climatizador de ambiente,217.34,Desligado,23.82,1995.59,39.41
Microondas,Aquecedor de alimentos,124.59,Ligado,34.44,1194.29,18.56
Ar Condicionado,Climatizador de ambiente,223.44,Desligado,24.49,2002.36,41.09
Microondas,Aquecedor de alimentos,122.1,Ligado,36.37,1205.98,35.22
Televisão,Eletrônico de entretenimento,122.11,Ligado,31.46,102.67,1.84
Ar Condicionado,Climatizador de ambiente,217.99,Desligado,24.3,1992.53,20.49
Geladeira,Eletrodoméstico de cozinha,218.14,Ligado,3.3,142.78,2.16
Máquina de Lavar,Eletrodoméstico de lavanderia,215.13,Ligado,22.0,506.08,10.26
Microondas,Aquecedor de alimentos,130.57,Ligado,36.91,1204.1,27.65
Máquina de Lavar,Eletrodoméstico de lavanderia,219.51,Ligado,18.04,502.88,13.34
Microondas,Aquecedor de alimentos,126.68,Ligado,35.97,1197.78,14.14
Geladeira,Eletrodoméstico de cozinha,224.59,Ligado,3.1,153.03,2.52
Televisão,Eletrônico de entretenimento,128.91,Ligado,31.71,98.03,1.52
Máquina de Lavar,Eletrodoméstico de lavanderia,222.66,Ligado,18.78,490.93,7.53
Televisão,Eletrônico de entretenimento,124.68,Ligado,31.19,106.73,2.11
Ar Condicionado,Climatizador de ambiente,220.18,Desligado,25.72,2000.48,25.11
Máquina de Lavar,Eletrodoméstico de lavanderia,216.92,Ligado,20.22,507.1,12.41
Geladeira,Eletrodoméstico de cozinha,217.02,Ligado,4.32,149.64,3.79
Geladeira,Eletrodoméstico de cozinha,221.97,Ligado,2.85,145.26,3.15
Televisão,Eletrônico de entretenimento,127.54,Ligado,28.49,105.35,2.67
Ar Condicionado,Climatizador de ambiente,224.39,Desligado,22.97,1997.51,19.99
Ar Condicionado,Climatizador de ambiente,219.09,Desligado,25.13,1992.29,53.62
Ar Condicionado,Climatizador de ambiente,219.85,Desligado,24.55,1992.61,31.37
Geladeira,Eletrodoméstico de cozinha,223.77,Ligado,5.9,140.9,3.3
Televisão,Eletrônico de entretenimento,131.66,Ligado,31.25,105.05,2.14
Televisão,Eletrônico de entretenimento,129.53,Ligado,28.29,90.59,2.44
Microondas,Aquecedor de alimentos,129.2,Ligado,33.95,1196.26,18.5
Televisão,Eletrônico de entretenimento,123.07,Ligado,29.72,109.72,2.99
