NomeDispositivo,DescricaoDispositivo,Voltagem,Status,Temperatura,ConsumoWatts,CustoConsumo
Microondas,Aquecedor de alimentos,122.85,Ligado,35.87,1204.61,29.09
Máquina de Lavar,Eletrodoméstico de lavanderia,216.84,Ligado,18.76,503.8,12.67
Televisão,Eletrônico de entretenimento,129.44,Ligado,28.95,99.94,1.99
Ar Condicionado,Climatizador de ambiente,218.96,Desligado,24.33,1997.81,38.18
Máquina de Lavar,Eletrodoméstico de lavanderia,224.82,Ligado,19.98,506.88,12.38
Máquina de Lavar,Eletrodoméstico de lavanderia,224.99,Ligado,21.89,507.14,11.7
Geladeira,Eletrodoméstico de cozinha,224.21,Ligado,3.07,142.92,1.79
Máquina de Lavar,Eletrodoméstico de lavanderia,221.73,Ligado,18.95,491.27,11.78
Ar Condicionado,Climatizador de ambiente,217.22,Desligado,24.08,1996.59,23.98
Microondas,Aquecedor de alimentos,123.5,Ligado,34.91,1203.36,24.07
Microondas,Aquecedor de alimentos,131.86,Ligado,34.45,1191.15,21.48
Ar Condicionado,Climatizador de ambiente,219.49,Desligado,22.91,1997.5,55.02
Máquina de Lavar,Eletrodoméstico de lavanderia,219.91,Ligado,18.28,508.4,10.91
Ar Condicionado,Climatizador de ambiente,219.34,Desligado,25.18,1993.27,51.93
Microondas,Aquecedor de alimentos,124.97,Ligado,34.37,1193.08,35.21
Ar Condicionado,Climatizador de ambiente,219.74,Desligado,22.34,1993.58,44.22
Microondas,Aquecedor de alimentos,124.34,Ligado,35.9,1199.32,27.41
Microondas,Aquecedor de alimentos,122.6,Ligado,36.43,1197.21,12.87
Máquina de Lavar,Eletrodoméstico de lavanderia,221.27,Ligado,21.56,491.79,10.62
Geladeira,Eletrodoméstico de cozinha,223.9,Ligado,4.48,140.73,2.82
Microondas,Aquecedor de alimentos,129.32,Ligado,34.41,1205.78,25.12
Microondas,Aquecedor de alimentos,125.82,Ligado,34.33,1205.47,12.29
Ar Condicionado,Climatizador de ambiente,222.9,Desligado,25.58,1996.54,26.15
Ar Condicionado,Climatizador de ambiente,215.48,Desligado,22.49,1994.21,56.2
Ar Condicionado,Climatizador de ambiente,217.41,Desligado,25.27,2002.77,37.99
Ar Condicionado,Climatizador de ambiente,221.97,Desligado,25.98,2001.26,22.19
Televisão,Eletrônico de entretenimento,130.36,Ligado,30.47,96.69,2.57
Geladeira,Eletrodoméstico de cozinha,217.34,Ligado,4.74,141.5,3.88
Máquina de Lavar,Eletrodoméstico de lavanderia,219.86,Ligado,18.99,492.75,6.54
Geladeira,Eletrodoméstico de cozinha,217.94,Ligado,5.92,150.99,3.42
Ar Condicionado,Climatizador de ambiente,217.0,Desligado,22.62,2003.17,39.08
Ar Condicionado,Climatizador de ambiente,219.16,Desligado,24.92,2001.52,43.02
Ar Condicionado,Climatizador de ambiente,217.24,Desligado,22.58,2009.78,40.01
Máquina de Lavar,Eletrodoméstico de lavanderia,221.09,Ligado,21.42,497.31,6.04
Televisão,Eletrônico de entretenimento,128.21,Ligado,31.8,103.59,2.34
Televisão,Eletrônico de entretenimento,123.51,Ligado,28.45,104.35,1.64
Geladeira,Eletrodoméstico de cozinha,219.9,Ligado,2.64,143.24,2.13
Ar Condicionado,Climatizador de ambiente,221.48,Desligado,22.65,1992.35,31.59
Ar Condicionado,Climatizador de ambiente,219.85,Desligado,24.56,2003.71,57.08
Ar Condicionado,Climatizador de ambiente,223.43,Desligado,23.34,2007.31,26.5
Televisão,Eletrônico de entretenimento,126.1,Ligado,28.98,100.95,1.39
Máquina de Lavar,Eletrodoméstico de lavanderia,216.64,Ligado,19.08,500.33,13.9
Microondas,Aquecedor de alimentos,127.29,Ligado,36.12,1202.42,25.05
Televisão,Eletrônico de entretenimento,122.61,Ligado,30.48,103.64,2.03
Geladeira,Eletrodoméstico de cozinha,223.22,Ligado,4.08,159.22,2.01
Televisão,Eletrônico de entretenimento,123.81,Ligado,31.55,107.08,1.98
Máquina de Lavar,Eletrodoméstico de lavanderia,219.6,Ligado,21.59,504.79,10.68
Geladeira,Eletrodoméstico de cozinha,220.43,Ligado,3.29,142.44,1.77
Televisão,Eletrônico de entretenimento,123.17,Ligado,28.54,98.53,2.18
Televisão,Eletrônico de entretenimento,130.23,Ligado,28.31,98.08,2.45
Televisão,Eletrônico de entretenimento,126.65,Ligado,31.63,99.65,2.75
Geladeira,Eletrodoméstico de cozinha,221.9,Ligado,3.39,148.51,2.27
Geladeira,Eletrodoméstico de cozinha,220.83,Ligado,4.92,140.22,1.64
Televisão,Eletrônico de entretenimento,125.24,Ligado,29.71,94.9,2.65
Ar Condicionado,Climatizador de ambiente,219.23,Desligado,22.79,2007.51,44.84
Geladeira,Eletrodoméstico de cozinha,224.35,Ligado,5.48,140.64,3.69
Geladeira,Eletrodoméstico de cozinha,220.55,Ligado,2.99,154.63,3.38
Máquina de Lavar,Eletrodoméstico de lavanderia,218.22,Ligado,19.65,504.2,13.55
Ar Condicionado,Climatizador de ambiente,217.52,Desligado,24.71,1993.36,36.44
Ar Condicionado,Climatizador de ambiente,219.98,Desligado,23.91,1992.39,49.17
Ar Condicionado,Climatizador de ambiente,220.6,Desligado,25.45,2007.15,25.42
Geladeira,Eletrodoméstico de cozinha,221.7,Ligado,2.93,144.2,1.69
Máquina de Lavar,Eletrodoméstico de lavanderia,219.75,Ligado,19.57,501.15,8.88
Microondas,Aquecedor de alimentos,127.95,Ligado,36.69,1195.52,18.06
Ar Condicionado,Climatizador de ambiente,218.27,Desligado,22.97,1999.14,39.93
Televisão,Eletrônico de entretenimento,122.11,Ligado,31.78,107.42,3.05
Microondas,Aquecedor de alimentos,128.84,Ligado,36.87,1190.56,22.8
Microondas,Aquecedor de alimentos,131.09,Ligado,34.79,1192.71,12.36
Microondas,Aquecedor de alimentos,131.39,Ligado,36.81,1195.53,12.27
Televisão,Eletrônico de entretenimento,125.42,Ligado,29.15,94.57,2.66
Ar Condicionado,Climatizador de ambiente,215.61,Desligado,24.89,1997.4,31.53
Microondas,Aquecedor de alimentos,127.12,Ligado,35.05,1204.94,31.0
Ar Condicionado,Climatizador de ambiente,223.56,Desligado,23.35,2007.68,40.43
Ar Condicionado,Climatizador de ambiente,220.54,Desligado,23.73,2003.26,20.14
Geladeira,Eletrodoméstico de cozinha,224.68,Ligado,2.55,155.98,3.89
Televisão,Eletrônico de entretenimento,128.67,Ligado,29.39,90.57,2.22
Microondas,Aquecedor de alimentos,126.37,Ligado,33.27,1209.35,22.72
Televisão,Eletrônico de entretenimento,124.25,Ligado,28.92,109.3,2.2
Máquina de Lavar,Eletrodoméstico de lavanderia,224.26,Ligado,20.78,493.17,6.75
Microondas,Aquecedor de alimentos,130.93,Ligado,33.35,1192.58,21.38
Ar Condicionado,Climatizador de ambiente,220.61,Desligado,23.95,1997.47,54.4
Ar Condicionado,Climatizador de ambiente,223.42,Desligado,22.46,1996.26,23.36
Microondas,Aquecedor de alimentos,129.41,Ligado,35.43,1194.01,32.91
Máquina de Lavar,Eletrodoméstico de lavanderia,219.77,Ligado,19.59,495.29,6.13
Televisão,Eletrônico de entretenimento,130.9,Ligado,31.14,92.79,1.38
Televisão,Eletrônico de entretenimento,124.4,Ligado,31.28,94.96,2.34
Máquina de Lavar,Eletrodoméstico de lavanderia,223.52,Ligado,21.82,509.95,8.86
Televisão,Eletrônico de entretenimento,127.02,Ligado,28.75,91.14,0.95
Geladeira,Eletrodoméstico de cozinha,216.96,Ligado,5.46,158.02,2.19
Máquina de Lavar,Eletrodoméstico de lavanderia,222.51,Ligado,20.98,505.47,8.46
Microondas,Aquecedor de alimentos,127.44,Ligado,34.15,1194.67,34.0
Televisão,Eletrônico de entretenimento,131.14,Ligado,30.42,95.09,2.0
Microondas,Aquecedor de alimentos,125.95,Ligado,36.61,1208.95,33.36
Ar Condicionado,Climatizador de ambiente,224.39,Desligado,23.65,2007.83,39.71
Geladeira,Eletrodoméstico de cozinha,221.0,Ligado,2.93,151.8,3.25
Ar Condicionado,Climatizador de ambiente,222.6,Desligado,23.86,2009.37,49.96
Máquina de Lavar,Eletrodoméstico de lavanderia,217.33,Ligado,18.99,509.51,15.18
Televisão,Eletrônico de entretenimento,122.76,Ligado,31.3,92.23,2.28
Ar Condicionado,Climatizador de ambiente,218.3,Desligado,22.76,1999.74,33.98
Geladeira,Eletrodoméstico de cozinha,220.17,Ligado,3.8,159.26,3.08
Microondas,Aquecedor de alimentos,125.52,Ligado,35.88,1201.25,19.48
Televisão,Eletrônico de entretenimento,127.06,Ligado,28.84,97.0,2.13
Máquina de Lavar,Eletrodoméstico de lavanderia,223.45,Ligado,20.1,504.83,6.78
Ar Condicionado,Climatizador de ambiente,217.2,Desligado,22.1,2003.32,29.36
Microondas,Aquecedor de alimentos,130.42,Ligado,34.85,1208.73,19.55
Geladeira,Eletrodoméstico de cozinha,215.57,Ligado,5.93,141.0,1.58
Máquina de Lavar,Eletrodoméstico de lavanderia,224.88,Ligado,19.35,508.05,12.94
Máquina de Lavar,Eletrodoméstico de lavanderia,217.9,Ligado,21.65,500.11,8.43
Televisão,Eletrônico de entretenimento,128.99,Ligado,29.38,107.75,1.14
Ar Condicionado,Climatizador de ambiente,219.88,Desligado,22.17,2003.92,53.76
Ar Condicionado,Climatizador de ambiente,217.28,Desligado,23.03,1994.42,31.78
Ar Condicionado,Climatizador de ambiente,221.85,Desligado,24.1,2002.0,34.54
Microondas,Aquecedor de alimentos,128.53,Ligado,35.65,1197.93,18.73
Ar Condicionado,Climatizador de ambiente,220.58,Desligado,25.84,1997.11,37.95
Microondas,Aquecedor de alimentos,130.53,Ligado,35.99,1207.47,31.79
Televisão,Eletrônico de entretenimento,122.88,Ligado,29.33,98.13,1.82
Ar Condicionado,Climatizador de ambiente,216.97,Desligado,24.93,2007.37,28.65
Televisão,Eletrônico de entretenimento,128.57,Ligado,31.07,99.45,2.39
Máquina de Lavar,Eletrodoméstico de lavanderia,222.24,Ligado,20.53,503.32,11.67
Máquina de Lavar,Eletrodoméstico de lavanderia,216.66,Ligado,19.88,499.11,12.85
Televisão,Eletrônico de entretenimento,123.4,Ligado,31.23,101.69,2.04
Geladeira,Eletrodoméstico de cozinha,220.61,Ligado,3.7,146.3,3.36
Geladeira,Eletrodoméstico de cozinha,220.22,Ligado,2.47,147.04,1.59
Geladeira,Eletrodoméstico de cozinha,222.12,Ligado,2.27,159.43,2.65
Ar Condicionado,Climatizador de ambiente,221.62,Desligado,25.97,2002.05,37.87
Ar Condicionado,Climatizador de ambiente,215.23,Desligado,24.5,2001.08,47.01
Geladeira,Eletrodoméstico de cozinha,216.11,Ligado,4.92,142.12,1.58
Televisão,Eletrônico de entretenimento,125.42,Ligado,30.45,103.95,1.67
Televisão,Eletrônico de entretenimento,130.22,Ligado,28.99,109.27,2.56
Ar Condicionado,Climatizador de ambiente,217.99,Desligado,25.74,2004.29,34.23
Microondas,Aquecedor de alimentos,124.47,Ligado,34.92,1199.55,25.33
Ar Condicionado,Climatizador de ambiente,218.51,Desligado,24.07,2003.83,29.71
Televisão,Eletrônico de entretenimento,131.39,Ligado,29.54,101.45,2.34
Geladeira,Eletrodoméstico de cozinha,215.45,Ligado,5.88,141.77,1.86
Microondas,Aquecedor de alimentos,122.47,Ligado,35.56,1198.78,32.98
Geladeira,Eletrodoméstico de cozinha,222.16,Ligado,4.47,148.6,3.36
Ar Condicionado,Climatizador de ambiente,219.11,Desligado,22.05,2005.23,21.18
Ar Condicionado,Climatizador de ambiente,219.92,Desligado,25.03,2009.68,34.0
Ar Condicionado,Climatizador de ambiente,220.98,Desligado,23.79,2006.53,40.63
Televisão,Eletrônico de entretenimento,124.69,Ligado,30.9,106.39,1.51
Ar Condicionado,Climatizador de ambiente,220.54,Desligado,23.69,1991.66,37.32
Televisão,Eletrônico de entretenimento,127.11,Ligado,31.99,105.63,1.29
Ar Condicionado,Climatizador de ambiente,219.93,Desligado,23.91,2004.26,37.21
Geladeira,Eletrodoméstico de cozinha,217.0,Ligado,5.05,150.48,3.23
